batter,batter_id,slot,bat_side,team,pitcher,pitcher_team,pitch_hand,game,game_time_ct,lineup_source,avg_vs_hand,avg_vs_hand_source,barrel_pct,hard_hit_pct,xwoba,xba,hits_score,hr_rbi_score,hits_thin_sample,expected_k_pct,rank
Ben Rice,700250,2,L,NYY,Bryan Woo,SEA,R,SEA@NYY,6:05 PM CT,prior:2026-08-09,0.2631578947368421,vs_rhp,15.6,47.8,0.374,0.265,59.57766447368421,61.1810197368421,False,25.93104824143237,26
Ty France,664034,4,R,SD,Kyle Harrison,MIL,L,MIL@SD,8:40 PM CT,prior:2026-08-10,0.3023255813953488,vs_lhp,11.0,48.9,0.332,0.255,59.540995639534884,57.832841569767446,False,19.587398424464375,27
Jonathan Aranda,666018,2,L,TB,Mason Barnett,ATH,R,TB@ATH,8:40 PM CT,prior:2026-08-10,0.3016393442622951,vs_rhp,9.9,45.3,0.356,0.266,59.48424692622951,57.95665471311476,False,24.20007195299071,28
Matt Olson,621566,3,L,ATL,Nolan McLean,NYM,R,NYM@ATL,6:15 PM CT,prior:2026-08-10,0.26515151515151514,vs_rhp,15.6,50.6,0.361,0.248,59.375151515151515,60.65507575757576,False,22.620520053124398,29
Dillon Dingler,693307,3,R,DET,Tanner Bibee,CLE,R,CLE@DET,5:40 PM CT,prior:2026-08-09,0.2827586206896552,vs_rhp,11.3,44.3,0.373,0.285,59.23867456896552,59.25761853448276,False,17.243882342411503,30
Yandy Díaz,650490,1,R,TB,Mason Barnett,ATH,R,TB@ATH,8:40 PM CT,prior:2026-08-10,0.30158730158730157,vs_rhp,6.9,48.0,0.358,0.288,59.19810515873016,57.664990079365076,False,15.994364369843296,31
Jac Caglianone,695506,3,L,KC,Blake Snell,LAD,L,KC@LAD,9:10 PM CT,prior:2026-08-10,0.24793388429752067,vs_lhp,14.7,55.4,0.36,0.278,58.87463842975207,61.445444214876034,False,36.021744263641494,32
Dominic Canzone,686527,4,L,SEA,Ryan Weathers,NYY,L,SEA@NYY,6:05 PM CT,prior:2026-08-09,0.2708333333333333,vs_lhp,13.4,45.8,0.363,0.272,58.62083333333333,59.31666666666666,False,26.637401132848495,33
Ronald Acuña Jr.,660670,2,R,ATL,Nolan McLean,NYM,R,NYM@ATL,6:15 PM CT,prior:2026-08-10,0.2619047619047619,vs_rhp,13.9,46.5,0.379,0.261,58.481413690476195,59.8818005952381,False,19.745537319556863,34
Hunter Goodman,696100,4,R,COL,Mitch Bratt,AZ,L,COL@AZ,8:40 PM CT,prior:2026-08-10,0.2777777777777778,vs_lhp,16.6,45.9,0.327,0.23,58.36246527777779,58.151701388888895,False,34.781381431816776,35
Randal Grichuk,545341,4,R,CWS,Nick Lodolo,CIN,L,CIN@CWS,6:40 PM CT,prior:2026-08-09,0.2857142857142857,vs_lhp,10.8,47.7,0.335,0.277,58.21924107142857,57.51540178571429,False,28.533181196652997,36
Jackson Chourio,694192,2,R,MIL,Walker Buehler,SD,R,MIL@SD,8:40 PM CT,prior:2026-08-10,0.2692307692307692,vs_rhp,14.0,48.2,0.345,0.259,58.16557692307693,58.736538461538466,False,20.956786468454936,37
